ID;LABEL;DICE
212318;WhiteMatter;0.865277333908
212318;GreyMatter;0.803148064241
212318;Ventricles;0.383300804494
212318-PP;WhiteMatter;0.864148886478
212318-PP;GreyMatter;0.803100224494
212318-PP;Ventricles;0.443337100586
201111;WhiteMatter;0.869850636874
201111;GreyMatter;0.813720143713
201111;Ventricles;0.494189007733
201111-PP;WhiteMatter;0.866974170693
201111-PP;GreyMatter;0.809651633189
201111-PP;Ventricles;0.63536192575
190031;WhiteMatter;0.853366246711
190031;GreyMatter;0.805986935455
190031;Ventricles;0.481910898607
190031-PP;WhiteMatter;0.852167634338
190031-PP;GreyMatter;0.804375433564
190031-PP;Ventricles;0.623929329657
857263;WhiteMatter;0.860451247318
857263;GreyMatter;0.817725135094
857263;Ventricles;0.459886533709
857263-PP;WhiteMatter;0.853455608015
857263-PP;GreyMatter;0.812268336718
857263-PP;Ventricles;0.551039623382
211720;WhiteMatter;0.851175189198
211720;GreyMatter;0.782719538927
211720;Ventricles;0.352188761254
211720-PP;WhiteMatter;0.84581740359
211720-PP;GreyMatter;0.776541192945
211720-PP;Ventricles;0.436320836362
856766;WhiteMatter;0.856518174365
856766;GreyMatter;0.825796974145
856766;Ventricles;0.541402802651
856766-PP;WhiteMatter;0.845844302904
856766-PP;GreyMatter;0.820742502616
856766-PP;Ventricles;0.634224532994
198451;WhiteMatter;0.85160027253
198451;GreyMatter;0.806553665183
198451;Ventricles;0.441937350194
198451-PP;WhiteMatter;0.842344625265
198451-PP;GreyMatter;0.797620293386
198451-PP;Ventricles;0.625870223734
188347;WhiteMatter;0.863973976284
188347;GreyMatter;0.823757802444
188347;Ventricles;0.58659791562
188347-PP;WhiteMatter;0.858409135042
188347-PP;GreyMatter;0.822274064558
188347-PP;Ventricles;0.684834239264
298051;WhiteMatter;0.865993286415
298051;GreyMatter;0.809702705237
298051;Ventricles;0.459843557491
298051-PP;WhiteMatter;0.860495750435
298051-PP;GreyMatter;0.805308098958
298051-PP;Ventricles;0.526552121987
192540;WhiteMatter;0.852562784197
192540;GreyMatter;0.817497841071
192540;Ventricles;0.325617156822
192540-PP;WhiteMatter;0.839775598448
192540-PP;GreyMatter;0.810210119833
192540-PP;Ventricles;0.41489326273
899885;WhiteMatter;0.851934571386
899885;GreyMatter;0.815671421055
899885;Ventricles;0.51485209754
899885-PP;WhiteMatter;0.84894116613
899885-PP;GreyMatter;0.813485277485
899885-PP;Ventricles;0.597849757369
245333;WhiteMatter;0.861108632852
245333;GreyMatter;0.819455830666
245333;Ventricles;0.505927149939
245333-PP;WhiteMatter;0.859491365161
245333-PP;GreyMatter;0.820057497737
245333-PP;Ventricles;0.607381587041
211417;WhiteMatter;0.858721932266
211417;GreyMatter;0.812190480399
211417;Ventricles;0.428827070116
211417-PP;WhiteMatter;0.84965406255
211417-PP;GreyMatter;0.808013207337
211417-PP;Ventricles;0.493631519521
397760;WhiteMatter;0.849783453968
397760;GreyMatter;0.798818597776
397760;Ventricles;0.463208352156
397760-PP;WhiteMatter;0.848589256625
397760-PP;GreyMatter;0.798747180506
397760-PP;Ventricles;0.528981459314
214423;WhiteMatter;0.845576785735
214423;GreyMatter;0.823855142781
214423;Ventricles;0.286508730953
214423-PP;WhiteMatter;0.828172458443
214423-PP;GreyMatter;0.812752558193
214423-PP;Ventricles;0.368313399203
366446;WhiteMatter;0.866392821022
366446;GreyMatter;0.809516668284
366446;Ventricles;0.436505315988
366446-PP;WhiteMatter;0.86073864648
366446-PP;GreyMatter;0.806921500953
366446-PP;Ventricles;0.543120217871
414229;WhiteMatter;0.851790928528
414229;GreyMatter;0.754540519983
414229;Ventricles;0.384171691824
414229-PP;WhiteMatter;0.849451989978
414229-PP;GreyMatter;0.752732646359
414229-PP;Ventricles;0.484617688588
199655;WhiteMatter;0.85479270738
199655;GreyMatter;0.809137090242
199655;Ventricles;0.307496669493
199655-PP;WhiteMatter;0.852030162549
199655-PP;GreyMatter;0.805082647545
199655-PP;Ventricles;0.403422752345
280739;WhiteMatter;0.864443935041
280739;GreyMatter;0.810867979326
280739;Ventricles;0.418938792069
280739-PP;WhiteMatter;0.855664709732
280739-PP;GreyMatter;0.805497729569
280739-PP;Ventricles;0.504108963628
672756;WhiteMatter;0.86930553971
672756;GreyMatter;0.81677521697
672756;Ventricles;0.406194959004
672756-PP;WhiteMatter;0.863628288831
672756-PP;GreyMatter;0.812443721371
672756-PP;Ventricles;0.493409809201
756055;WhiteMatter;0.861672963456
756055;GreyMatter;0.815083696383
756055;Ventricles;0.353693939214
756055-PP;WhiteMatter;0.850684540787
756055-PP;GreyMatter;0.809365269473
756055-PP;Ventricles;0.477623486636
196750;WhiteMatter;0.844558575373
196750;GreyMatter;0.815189876134
196750;Ventricles;0.470761726504
196750-PP;WhiteMatter;0.840387516087
196750-PP;GreyMatter;0.81507498884
196750-PP;Ventricles;0.575871757454
654754;WhiteMatter;0.860899482804
654754;GreyMatter;0.810810810811
654754;Ventricles;0.482791446983
654754-PP;WhiteMatter;0.858088702212
654754-PP;GreyMatter;0.809487320148
654754-PP;Ventricles;0.572557758204
751348;WhiteMatter;0.855015781632
751348;GreyMatter;0.808530025637
751348;Ventricles;0.536046879949
751348-PP;WhiteMatter;0.851776300227
751348-PP;GreyMatter;0.807158596044
751348-PP;Ventricles;0.622958403017
189450;WhiteMatter;0.845427825632
189450;GreyMatter;0.813729990949
189450;Ventricles;0.359888996289
189450-PP;WhiteMatter;0.83191206038
189450-PP;GreyMatter;0.807770999455
189450-PP;Ventricles;0.473987985394
499566;WhiteMatter;0.842975104557
499566;GreyMatter;0.811355336354
499566;Ventricles;0.46041864071
499566-PP;WhiteMatter;0.835260576815
499566-PP;GreyMatter;0.804632100164
499566-PP;Ventricles;0.59168167933
221319;WhiteMatter;0.861397923792
221319;GreyMatter;0.820148964187
221319;Ventricles;0.43299612514
221319-PP;WhiteMatter;0.855431698779
221319-PP;GreyMatter;0.81738148771
221319-PP;Ventricles;0.566779959718
239944;WhiteMatter;0.856775553246
239944;GreyMatter;0.812169005373
239944;Ventricles;0.485745648424
239944-PP;WhiteMatter;0.853712422579
239944-PP;GreyMatter;0.810103565542
239944-PP;Ventricles;0.597571884984
208226;WhiteMatter;0.865197088159
208226;GreyMatter;0.815870080952
208226;Ventricles;0.391025883958
208226-PP;WhiteMatter;0.86079159455
208226-PP;GreyMatter;0.811548453507
208226-PP;Ventricles;0.4945239357
792564;WhiteMatter;0.857020932496
792564;GreyMatter;0.820030779217
792564;Ventricles;0.466279539858
792564-PP;WhiteMatter;0.84375117363
792564-PP;GreyMatter;0.812560653149
792564-PP;Ventricles;0.557155622052
